"subject";"Label";"data.all[, 3]"
"1";1;1;0.277330758736842
"2";2;1;0.276426586440678
"3";3;1;0.275567462068966
"4";4;1;0.278582015166667
"5";5;1;0.27784234625
"6";6;1;0.283658868070175
"7";7;1;0.275592961754386
"8";8;1;0.27468631
"9";9;1;0.278502842115385
"10";10;1;0.278574076603774
"11";11;1;0.271821892881356
"12";12;1;0.2771286656
"13";13;1;0.275883130350877
"14";14;1;0.271959598644068
"15";15;1;0.273899207962963
"16";16;1;0.276023564509804
"17";17;1;0.272341855245902
"18";18;1;0.273887758571429
"19";19;1;0.273931172307692
"20";20;1;0.272589336470588
"21";21;1;0.279183526730769
"22";22;1;0.27886459
"23";23;1;0.273211884237288
"24";24;1;0.276980816034483
"25";25;1;0.278992759054054
"26";26;1;0.279264443728814
"27";27;1;0.276849485438596
"28";28;1;0.281228223888889
"29";29;1;0.271999916792453
"30";30;1;0.276406758
"31";1;2;0.255461689622641
"32";2;2;0.247164790395833
"33";3;2;0.260819873067797
"34";4;2;0.270876696730769
"35";5;2;0.268459469914894
"36";6;2;0.268229355098039
"37";7;2;0.248706923078431
"38";8;2;0.258880152048781
"39";9;2;0.262436475714286
"40";10;2;0.267121853404255
"41";11;2;0.263775859277778
"42";12;2;0.272970338653846
"43";13;2;0.258203939581818
"44";14;2;0.26242106612963
"45";15;2;0.270187595833333
"46";16;2;0.255986102627451
"47";17;2;0.252604768583333
"48";18;2;0.265401201896552
"49";19;2;0.242118808925
"50";20;2;0.252098317156863
"51";21;2;0.265194544680851
"52";22;2;0.248391534566667
"53";23;2;0.249995171031373
"54";24;2;0.269881106779661
"55";25;2;0.277995411384615
"56";26;2;0.272691394545455
"57";27;2;0.265770253921569
"58";28;2;0.262005841764706
"59";29;2;0.265423066877551
"60";30;2;0.271415642261538
"61";1;3;0.289188320408163
"62";2;3;0.27761534806383
"63";3;3;0.292423484693878
"64";4;3;0.279965329555556
"65";5;3;0.29354392712766
"66";6;3;0.277045258145833
"67";7;3;0.28030708
"68";8;3;0.283484089210526
"69";9;3;0.295923445
"70";10;3;0.290401594315789
"71";11;3;0.291605631956522
"72";12;3;0.281521097391304
"73";13;3;0.294907553404255
"74";14;3;0.293422115555556
"75";15;3;0.280198851190476
"76";16;3;0.295586802191489
"77";17;3;0.29391828326087
"78";18;3;0.288439468909091
"79";19;3;0.262688053871795
"80";20;3;0.296144421355556
"81";21;3;0.3014610196
"82";22;3;0.284458963861111
"83";23;3;0.289897411148148
"84";24;3;0.288631208909091
"85";25;3;0.291329666206897
"86";26;3;0.2792845828
"87";27;3;0.2975441875
"88";28;3;0.293642076521739
"89";29;3;0.293140441083333
"90";30;3;0.283190646967742
"91";1;4;0.261237565425532
"92";2;4;0.27708735173913
"93";3;4;0.257197599134615
"94";4;4;0.27153827992
"95";5;4;0.273694139545455
"96";6;4;0.276778487454545
"97";7;4;0.284674637291667
"98";8;4;0.267491472934783
"99";9;4;0.24832674354
"100";10;4;0.270612056481481
"101";11;4;0.276590197358491
"102";12;4;0.275007224901961
"103";13;4;0.274328499591837
"104";14;4;0.279990577037037
"105";15;4;0.27290337979661
"106";16;4;0.280768574492754
"107";17;4;0.2773570196875
"108";18;4;0.27727001877193
"109";19;4;0.273830316164384
"110";20;4;0.278045439090909
"111";21;4;0.277539616823529
"112";22;4;0.273583822709677
"113";23;4;0.273351251617647
"114";24;4;0.273475690147059
"115";25;4;0.278541482461538
"116";26;4;0.258243530166667
"117";27;4;0.273941302571429
"118";28;4;0.276977629444444
"119";29;4;0.2771799775
"120";30;4;0.268336081379032
"121";1;5;0.278917629056604
"122";2;5;0.277911472222222
"123";3;5;0.280046513278689
"124";4;5;0.280499745892857
"125";5;5;0.282544390892857
"126";6;5;0.280346248596491
"127";7;5;0.282723539433962
"128";8;5;0.279620986111111
"129";9;5;0.282310057333333
"130";10;5;0.276650300681818
"131";11;5;0.277715562765957
"132";12;5;0.277405834918033
"133";13;5;0.277758431052632
"134";14;5;0.280545613833333
"135";15;5;0.278915803962264
"136";16;5;0.283497402948718
"137";17;5;0.277942503333333
"138";18;5;0.278458805890411
"139";19;5;0.27817226
"140";20;5;0.278076904657534
"141";21;5;0.27695224258427
"142";22;5;0.279053861587302
"143";23;5;0.277899323235294
"144";24;5;0.280348883913043
"145";25;5;0.278013701621622
"146";26;5;0.281127035405405
"147";27;5;0.279566921625
"148";28;5;0.277795069113924
"149";29;5;0.277965065846154
"150";30;5;0.277112699152542
"151";1;6;0.22159824394
"152";2;6;0.281373403958333
"153";3;6;0.275516852741935
"154";4;6;0.263559214981481
"155";5;6;0.278334325576923
"156";6;6;0.248656520140351
"157";7;6;0.250176694038462
"158";8;6;0.261254282907407
"159";9;6;0.2591955368
"160";10;6;0.280230574137931
"161";11;6;0.280592970877193
"162";12;6;0.260113433
"163";13;6;0.276716360483871
"164";14;6;0.233275439803922
"165";15;6;0.2894756525
"166";16;6;0.274227162571429
"167";17;6;0.269780085577465
"168";18;6;0.274691576923077
"169";19;6;0.272653733493976
"170";20;6;0.239507882205882
"171";21;6;0.271325472455556
"172";22;6;0.279959721194444
"173";23;6;0.274038007986111
"174";24;6;0.272850494930556
"175";25;6;0.250791828613699
"176";26;6;0.271645864540789
"177";27;6;0.274102492432432
"178";28;6;0.2759134825
"179";29;6;0.287295196811594
"180";30;6;0.281033900571429
